title,Programming Languages,Programming Languages,Agreements,,,,,,,
PatchView__Multi-modality_detection_of_security_patches.pdf,"C, PHP, JavaScript, Java, Python, C++, Ruby, TypeScript, HTML, Perl, Go, C#","C, PHP, JavaScript, Java, Python, C/C++, C++, Ruby, TypeScript, HTML, Go, C#, Perl","C, PHP, JavaScript, Python, C++, Ruby, TypeScript, HTML, Go, Perl, C#",,,,,,,
SUMLLAMA__Efficient_Contrastive_Representations_and_Fine-Tuned_Adapters_for_Bug_Report_Summarization.pdf,,,,,,,,,,
Evaluating_Large_Language_Model_Application_Impacts_on_Evasive_Spectre_Attack_Detection_.pdf,,,,,,,,,,Programming Languages
Can_llms_replace_manual_annotation_of_software_engineering_artifacts_.pdf,,,,,,,,,,C
Retrieval_Augmented_Generation_Fine-Tuned_LLM_Model_for_Code_Recommendations_to_Mitigate_Lock_Contention.pdf,Java,Java,Java,,,,,,,PHP
Benchmarking_Long-Context_Language_Models_on_Long_Code_Understanding.pdf,Python,Python,Python,,,,,,,JavaScript
Generating_vulnerability_security_fixes_with_Code_Language_Models.pdf,"Java, Verilog",Java,"Java, Verilog",,,,,,,Java
PATCH__Empowering_Large_Language_Model_with_Programmer-Intent_Guidance_and_Collaborative-Behavior_Simulation_for_Automatic_Bug_Fixing.pdf,Java,Java,Java,,,,,,,C++
Hierarchical_repository-level_code_summarization_for_business_applications_using_local_llms.pdf,Java,Java,Java,,,,,,,Ruby
When_Fine-Tuning_LLMs_Meets_Data_Privacy__An_Empirical_Study_of_Federated_Learning_in_LLM-Based_Program_Repair.pdf,Java,"Java, C++","Java, C++",,,,,,,TypeScript
"Ai-powered,_but_power-hungry__energy_efficiency_of_llm-generated_code.pdf","Python, Java, C++","Python, Java, C++","Python, Java, C++",,,,,,,HTML
Leveraging_Generative_AI_to_Enhance_Automated_Vulnerability_Scoring.pdf,,,,,,,,,,Perl
Bridging_HCI_and_AI_Research_for_the_Evaluation_of_Conversational_SE_Assistants.pdf,,,,,,,,,,Go
Automated_Vulnerability_Score_Prediction_through_Lightweight_Generative_AI.pdf,,,,,,,,,,C#
